ID,Competitor Name,Sex,Age,Age Grouping,Height,Weight,Nation Code,Year,Sport,Event,Medal
334,Abubakar Sadiq Abdullahi,Male,28,25-30,NULL,NULL,NGR,1988,Tennis,Tennis Men's Singles,Not Registered
335,Abdulqdir Abdullayev,Male,28,25-30,188,91,AZE,2016,Boxing,Boxing Men's Heavyweight,Not Registered
336,Arif Yadulla Abdullayev,Male,27,25-30,164,60,AZE,1996,Wrestling,"Wrestling Men's Bantamweight, Freestyle",Not Registered
336,Arif Yadulla Abdullayev,Male,32,Over 30,164,60,AZE,2000,Wrestling,"Wrestling Men's Featherweight, Freestyle",Not Registered
337,Mukhammad Kadyr Abdullayev,Male,22,18-25,169,63,UZB,1996,Boxing,Boxing Men's Lightweight,Not Registered
337,Mukhammad Kadyr Abdullayev,Male,26,25-30,169,63,UZB,2000,Boxing,Boxing Men's Light-Welterweight,Gold
338,Muminzhon Abdullayev,Male,22,18-25,190,130,UZB,2012,Wrestling,"Wrestling Men's Super-Heavyweight, Greco-Roman",Not Registered
338,Muminzhon Abdullayev,Male,26,25-30,190,130,UZB,2016,Wrestling,"Wrestling Men's Super-Heavyweight, Greco-Roman",Not Registered
339,Namiq Yadulla Abdullayev,Male,25,18-25,167,55,AZE,1996,Wrestling,"Wrestling Men's Flyweight, Freestyle",Silver
339,Namiq Yadulla Abdullayev,Male,29,25-30,167,55,AZE,2000,Wrestling,"Wrestling Men's Bantamweight, Freestyle",Gold
339,Namiq Yadulla Abdullayev,Male,33,Over 30,167,55,AZE,2004,Wrestling,"Wrestling Men's Featherweight, Freestyle",Not Registered
340,Laye Abdullayeva,Female,21,18-25,170,47,AZE,2012,Athletics,"Athletics Women's 5,000 metres",Not Registered
341,lqar Abdulov,Male,27,25-30,175,74,AZE,2008,Wrestling,"Wrestling Men's Middleweight, Greco-Roman",Not Registered
342,Abdullah Abdulrahman Zeyab,Male,16,Under 18,177,NULL,KUW,1972,Swimming,Swimming Men's 100 metres Freestyle,Not Registered
343,Abir Abdulrahman Khalil Mahmoud Khalil,Female,16,Under 18,162,72,EGY,2008,Weightlifting,Weightlifting Women's Light-Heavyweight,Not Registered
343,Abir Abdulrahman Khalil Mahmoud Khalil,Female,20,18-25,162,72,EGY,2012,Weightlifting,Weightlifting Women's Heavyweight,Not Registered
344,Amer Abdulrahman Abdallah Hussain Al-Hammadi,Male,23,18-25,168,68,UAE,2012,Football,Football Men's Football,Not Registered
345,Omar Abdulrahman Ahmad Al-Raaqi Al-Amoudi,Male,20,18-25,168,62,UAE,2012,Football,Football Men's Football,Not Registered
346,Shaza Yahia Nazih Abdulrahman El-Sayed,Female,15,Under 18,170,59,EGY,2008,Synchronized Swimming,Synchronized Swimming Women's Team,Not Registered
346,Shaza Yahia Nazih Abdulrahman El-Sayed,Female,19,18-25,170,59,EGY,2012,Synchronized Swimming,Synchronized Swimming Women's Duet,Not Registered
346,Shaza Yahia Nazih Abdulrahman El-Sayed,Female,19,18-25,170,59,EGY,2012,Synchronized Swimming,Synchronized Swimming Women's Team,Not Registered
347,Najim Abdulrazak Al-Enazy,Male,18,18-25,150,60,KUW,1980,Athletics,Athletics Men's Discus Throw,Not Registered
348,Zeyad Abdulrazak Al-Khudhur Al-Enazy,Male,19,18-25,181,66,KUW,1988,Athletics,Athletics Men's 110 metres Hurdles,Not Registered
348,Zeyad Abdulrazak Al-Khudhur Al-Enazy,Male,23,18-25,181,66,KUW,1992,Athletics,Athletics Men's 110 metres Hurdles,Not Registered
349,Waheed Abdulridha Waheed Karaawi,Male,33,Over 30,178,74,IRQ,2016,Boxing,Boxing Men's Middleweight,Not Registered
350,Mohamed Abdultwab Ibrahim Abd El-Baki,Male,21,18-25,162,69,EGY,2008,Weightlifting,Weightlifting Men's Featherweight,Not Registered
350,Mohamed Abdultwab Ibrahim Abd El-Baki,Male,25,18-25,162,69,EGY,2012,Weightlifting,Weightlifting Men's Lightweight,Not Registered
351,Julius Shareef Abdur-Rahim,Male,23,18-25,202,104,USA,2000,Basketball,Basketball Men's Basketball,Gold
352,Sherzod Abdurahmonov,Male,22,18-25,178,73,UZB,2004,Boxing,Boxing Men's Middleweight,Not Registered
353,Rasul Abduraim,Male,19,18-25,183,74,KGZ,2008,Taekwondo,Taekwondo Men's Featherweight,Not Registered
353,Rasul Abduraim,Male,23,18-25,183,74,KGZ,2012,Taekwondo,Taekwondo Men's Welterweight,Not Registered
354,Bekzod Makhamadzhonovich Abdurakhmonov,Male,26,25-30,172,74,UZB,2016,Wrestling,"Wrestling Men's Middleweight, Freestyle",Not Registered
355,Mukhamadmurod Abdurakhmonov,Male,29,25-30,192,117,TJK,2016,Judo,Judo Men's Heavyweight,Not Registered
356,Adlan Aliyevich Abdurashidov,Male,26,25-30,172,60,RUS,2016,Boxing,Boxing Men's Lightweight,Not Registered
357,Yusup Abdusalomov,Male,26,25-30,170,84,TJK,2004,Wrestling,"Wrestling Men's Middleweight, Freestyle",Not Registered
357,Yusup Abdusalomov,Male,30,25-30,170,84,TJK,2008,Wrestling,"Wrestling Men's Light-Heavyweight, Freestyle",Silver
357,Yusup Abdusalomov,Male,34,Over 30,170,84,TJK,2012,Wrestling,"Wrestling Men's Light-Heavyweight, Freestyle",Not Registered
358,Fawzi Abdussalam,Male,NULL,NULL,179,76,LBA,1980,Cycling,Cycling Men's Sprint,Not Registered
359,Andrey Khakimovich Abduvaliyev,Male,26,25-30,190,125,EUN,1992,Athletics,Athletics Men's Hammer Throw,Gold
359,Andrey Khakimovich Abduvaliyev,Male,34,Over 30,190,125,UZB,2000,Athletics,Athletics Men's Hammer Throw,Not Registered
360,Dzhamolidin Mirgarifanovich Abduzhaparov,Male,24,18-25,174,72,URS,1988,Cycling,"Cycling Men's Road Race, Individual",Not Registered
360,Dzhamolidin Mirgarifanovich Abduzhaparov,Male,32,Over 30,174,72,UZB,1996,Cycling,"Cycling Men's Road Race, Individual",Not Registered
361,Aybek Abdymomunov,Male,18,18-25,162,54,KGZ,2004,Boxing,Boxing Men's Bantamweight,Not Registered
362,Isao Ko Abe,Male,24,18-25,177,75,JPN,1936,Athletics,Athletics Men's Hammer Throw,Not Registered
364,Kazuo Abe,Male,25,18-25,166,69,JPN,1960,Wrestling,"Wrestling Men's Lightweight, Freestyle",Not Registered
365,Kinya Abe,Male,23,18-25,168,68,JPN,1992,Fencing,"Fencing Men's Foil, Individual",Not Registered
366,Kiyoshi Abe,Male,25,18-25,167,62,JPN,1972,Wrestling,"Wrestling Men's Featherweight, Freestyle",Not Registered
368,Naoki Abe,Male,23,18-25,173,68,JPN,1968,Athletics,Athletics Men's 4 x 100 metres Relay,Not Registered
368,Naoki Abe,Male,23,18-25,173,68,JPN,1968,Athletics,Athletics Men's Long Jump,Not Registered
369,Osamu Abe,Male,22,18-25,NULL,NULL,JPN,1936,Rowing,Rowing Men's Coxed Pairs,Not Registered
370,Shigeaki Abe,Male,24,18-25,178,70,JPN,1972,Basketball,Basketball Men's Basketball,Not Registered
370,Shigeaki Abe,Male,28,25-30,178,70,JPN,1976,Basketball,Basketball Men's Basketball,Not Registered
371,Shinnosuke Abe,Male,21,18-25,179,91,JPN,2000,Baseball,Baseball Men's Baseball,Not Registered
371,Shinnosuke Abe,Male,29,25-30,179,91,JPN,2008,Baseball,Baseball Men's Baseball,Not Registered
372,"Sanshiro ""Sonny"" Abe",Male,26,25-30,166,57,JPN,1996,Wrestling,"Wrestling Men's Bantamweight, Freestyle",Not Registered
373,Tadashi Abe,Male,21,18-25,190,80,JPN,1984,Rowing,Rowing Men's Coxed Fours,Not Registered
373,Tadashi Abe,Male,25,18-25,190,80,JPN,1988,Rowing,Rowing Men's Coxed Eights,Not Registered
373,Tadashi Abe,Male,29,25-30,190,80,JPN,1992,Rowing,Rowing Men's Coxed Eights,Not Registered
374,Tadatoshi Abe,Male,28,25-30,170,60,JPN,1960,Hockey,Hockey Men's Hockey,Not Registered
375,Wakako Abe,Female,18,18-25,168,60,JPN,1984,Cycling,"Cycling Women's Road Race, Individual",Not Registered
376,Yoshiyuki Abe,Male,31,Over 30,175,67,JPN,2000,Cycling,"Cycling Men's Road Race, Individual",Not Registered
377,Yuki Abe,Male,22,18-25,177,75,JPN,2004,Football,Football Men's Football,Not Registered
378,Angelik Abebame,Female,NULL,NULL,NULL,NULL,CGO,1980,Handball,Handball Women's Handball,Not Registered
379,Addis Abebe,Male,21,18-25,160,50,ETH,1992,Athletics,"Athletics Men's 5,000 metres",Not Registered
379,Addis Abebe,Male,21,18-25,160,50,ETH,1992,Athletics,"Athletics Men's 10,000 metres",Bronze
380,Biruk Abebe,Male,22,18-25,173,62,ETH,1992,Cycling,"Cycling Men's Road Race, Individual",Not Registered
380,Biruk Abebe,Male,22,18-25,173,62,ETH,1992,Cycling,Cycling Men's 100 kilometres Team Time Trial,Not Registered
381,Benaissa Abed,Male,23,18-25,170,51,ALG,1988,Boxing,Boxing Men's Flyweight,Not Registered
382,Soha Abed Elaal,Female,35,Over 30,NULL,NULL,EGY,2008,Archery,Archery Women's Individual,Not Registered
383,Mojtaba Abedini Shormasti,Male,27,25-30,180,83,IRI,2012,Fencing,"Fencing Men's Sabre, Individual",Not Registered
383,Mojtaba Abedini Shormasti,Male,31,Over 30,180,83,IRI,2016,Fencing,"Fencing Men's Sabre, Individual",Not Registered
384,Thophile Abega Mbida,Male,30,25-30,NULL,NULL,CMR,1984,Football,Football Men's Football,Not Registered
385,"Max ""Xam"" Abegglen",Male,22,18-25,NULL,NULL,SUI,1924,Football,Football Men's Football,Silver
385,"Max ""Xam"" Abegglen",Male,26,25-30,NULL,NULL,SUI,1928,Football,Football Men's Football,Not Registered
386,Alexandre Abeid,Male,22,18-25,194,92,BRA,1972,Volleyball,Volleyball Men's Volleyball,Not Registered
386,Alexandre Abeid,Male,26,25-30,194,92,BRA,1976,Volleyball,Volleyball Men's Volleyball,Not Registered
387,Sonia Abejn Esteban,Female,19,18-25,169,48,ESP,2004,Rhythmic Gymnastics,Rhythmic Gymnastics Women's Group,Not Registered
388,Abel Carlos da Silva Braga,Male,19,18-25,190,73,BRA,1972,Football,Football Men's Football,Not Registered
389,Adolf Gaston Abel,Male,45,Over 30,NULL,NULL,GER,1928,Art Competitions,"Art Competitions Mixed Architecture, Designs For Town Planning",Not Registered
389,Adolf Gaston Abel,Male,45,Over 30,NULL,NULL,GER,1928,Art Competitions,"Art Competitions Mixed Architecture, Architectural Designs",Not Registered
390,Brooke Abel,Female,20,18-25,163,52,USA,2008,Synchronized Swimming,Synchronized Swimming Women's Team,Not Registered
394,Irene Abel,Female,19,18-25,160,48,GDR,1972,Gymnastics,Gymnastics Women's Individual All-Around,Not Registered
394,Irene Abel,Female,19,18-25,160,48,GDR,1972,Gymnastics,Gymnastics Women's Team All-Around,Silver
394,Irene Abel,Female,19,18-25,160,48,GDR,1972,Gymnastics,Gymnastics Women's Floor Exercise,Not Registered
394,Irene Abel,Female,19,18-25,160,48,GDR,1972,Gymnastics,Gymnastics Women's Horse Vault,Not Registered
394,Irene Abel,Female,19,18-25,160,48,GDR,1972,Gymnastics,Gymnastics Women's Uneven Bars,Not Registered
394,Irene Abel,Female,19,18-25,160,48,GDR,1972,Gymnastics,Gymnastics Women's Balance Beam,Not Registered
395,Jennifer Abel,Female,16,Under 18,160,62,CAN,2008,Diving,Diving Women's Springboard,Not Registered
395,Jennifer Abel,Female,20,18-25,160,62,CAN,2012,Diving,Diving Women's Springboard,Not Registered
395,Jennifer Abel,Female,20,18-25,160,62,CAN,2012,Diving,Diving Women's Synchronized Springboard,Bronze
395,Jennifer Abel,Female,24,18-25,160,62,CAN,2016,Diving,Diving Women's Springboard,Not Registered
395,Jennifer Abel,Female,24,18-25,160,62,CAN,2016,Diving,Diving Women's Synchronized Springboard,Not Registered
396,Katja Abel,Female,25,18-25,165,55,GER,2008,Gymnastics,Gymnastics Women's Individual All-Around,Not Registered
396,Katja Abel,Female,25,18-25,165,55,GER,2008,Gymnastics,Gymnastics Women's Team All-Around,Not Registered
396,Katja Abel,Female,25,18-25,165,55,GER,2008,Gymnastics,Gymnastics Women's Floor Exercise,Not Registered
396,Katja Abel,Female,25,18-25,165,55,GER,2008,Gymnastics,Gymnastics Women's Uneven Bars,Not Registered
396,Katja Abel,Female,25,18-25,165,55,GER,2008,Gymnastics,Gymnastics Women's Balance Beam,Not Registered
397,Mara Abel Diguez,Female,25,18-25,163,46,ESP,2000,Athletics,"Athletics Women's 10,000 metres",Not Registered
397,Mara Abel Diguez,Female,29,25-30,163,46,ESP,2004,Athletics,Athletics Women's Marathon,Not Registered
398,Roger Abel,Male,24,18-25,NULL,NULL,MON,1924,Shooting,"Shooting Men's Small-Bore Rifle, Prone, 50 metres",Not Registered
398,Roger Abel,Male,36,Over 30,NULL,NULL,MON,1936,Shooting,"Shooting Men's Rapid-Fire Pistol, 25 metres",Not Registered
398,Roger Abel,Male,36,Over 30,NULL,NULL,MON,1936,Shooting,"Shooting Men's Small-Bore Rifle, Prone, 50 metres",Not Registered
398,Roger Abel,Male,48,Over 30,NULL,NULL,MON,1948,Shooting,"Shooting Men's Small-Bore Rifle, Prone, 50 metres",Not Registered
398,Roger Abel,Male,52,Over 30,NULL,NULL,MON,1952,Shooting,"Shooting Men's Small-Bore Rifle, Three Positions, 50 metres",Not Registered
398,Roger Abel,Male,52,Over 30,NULL,NULL,MON,1952,Shooting,"Shooting Men's Small-Bore Rifle, Prone, 50 metres",Not Registered
399,Egil Sten Abel,Male,20,18-25,NULL,NULL,NOR,1920,Sailing,Sailing Mixed 7 metres,Silver
400,Yaritza Abel Rojas,Female,28,25-30,NULL,62,CUB,2012,Judo,Judo Women's Half-Middleweight,Not Registered
401,Abelardo Fernndez Antua,Male,22,18-25,NULL,NULL,ESP,1992,Football,Football Men's Football,Gold
402,Arthur Abele,Male,22,18-25,184,85,GER,2008,Athletics,Athletics Men's Decathlon,Not Registered
402,Arthur Abele,Male,30,25-30,184,85,GER,2016,Athletics,Athletics Men's Decathlon,Not Registered
403,Ruth Abeles,Female,18,18-25,153,48,ISR,1960,Gymnastics,Gymnastics Women's Individual All-Around,Not Registered
403,Ruth Abeles,Female,18,18-25,153,48,ISR,1960,Gymnastics,Gymnastics Women's Floor Exercise,Not Registered
403,Ruth Abeles,Female,18,18-25,153,48,ISR,1960,Gymnastics,Gymnastics Women's Horse Vault,Not Registered
403,Ruth Abeles,Female,18,18-25,153,48,ISR,1960,Gymnastics,Gymnastics Women's Uneven Bars,Not Registered
403,Ruth Abeles,Female,18,18-25,153,48,ISR,1960,Gymnastics,Gymnastics Women's Balance Beam,Not Registered
404,"Louis Grenville ""Lou"" Abell",Male,15,Under 18,NULL,NULL,USA,1900,Rowing,Rowing Men's Coxed Eights,Gold
404,"Louis Grenville ""Lou"" Abell",Male,19,18-25,NULL,NULL,USA,1904,Rowing,Rowing Men's Coxed Eights,Gold
405,Jos Javier Abella Fanjul,Male,22,18-25,176,66,MEX,2016,Football,Football Men's Football,Not Registered
406,Ramn Neptuno Abella Caside,Male,26,25-30,NULL,NULL,URU,1948,Water Polo,Water Polo Men's Water Polo,Not Registered
408,Alfonso Abelln Lpez,Male,37,Over 30,174,63,ESP,1988,Athletics,Athletics Men's Marathon,Not Registered
409,Juan Luis Abelln Pallahi,Male,19,18-25,NULL,NULL,ESP,1952,Water Polo,Water Polo Men's Water Polo,Not Registered
410,Edwige Marie Abna Fouda,Female,23,18-25,173,61,CMR,1996,Athletics,Athletics Women's 4 x 100 metres Relay,Not Registered
411,Gezahgne Abera,Male,22,18-25,166,58,ETH,2000,Athletics,Athletics Men's Marathon,Gold
412,Tesfaye Abera Dibaba,Male,24,18-25,192,68,ETH,2016,Athletics,Athletics Men's Marathon,Not Registered
413,Hugo Ral Aberastegui,Male,27,25-30,186,84,ARG,1968,Rowing,Rowing Men's Coxed Fours,Not Registered
413,Hugo Ral Aberastegui,Male,30,25-30,186,84,ARG,1972,Rowing,Rowing Men's Coxed Eights,Not Registered
413,Hugo Ral Aberastegui,Male,34,Over 30,186,84,ARG,1976,Rowing,Rowing Men's Coxed Fours,Not Registered
414,Arvid berg,Male,26,25-30,NULL,NULL,SWE,1912,Athletics,Athletics Men's Hammer Throw,Not Registered
416,Nils Georg berg,Male,19,18-25,181,78,SWE,1912,Athletics,Athletics Men's Long Jump,Bronze
416,Nils Georg berg,Male,19,18-25,181,78,SWE,1912,Athletics,Athletics Men's Triple Jump,Silver
417,Sara Helena berg,Female,17,Under 18,190,73,SWE,1988,Swimming,Swimming Women's 50 metres Freestyle,Not Registered
418,Karl Konrad berg,Male,22,18-25,NULL,NULL,FIN,1912,Wrestling,"Wrestling Men's Middleweight A, Greco-Roman",Not Registered
419,Majken berg,Female,30,25-30,170,60,SWE,1948,Athletics,Athletics Women's Discus Throw,Not Registered
420,"Olof Viktor ""Olle"" berg",Male,27,25-30,181,78,SWE,1952,Athletics,"Athletics Men's 1,500 metres",Not Registered
421,Mohamed Aberhoune,Male,23,18-25,187,75,MAR,2012,Football,Football Men's Football,Not Registered
423,Michael Brent Abernathy,Male,22,18-25,182,84,USA,2000,Baseball,Baseball Men's Baseball,Gold
424,Moira Abernethy (-Ford),Female,17,Under 18,NULL,NULL,RSA,1956,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,Bronze
424,Moira Abernethy (-Ford),Female,17,Under 18,NULL,NULL,RSA,1956,Swimming,Swimming Women's 100 metres Backstroke,Not Registered
425,Salim Abes,Male,25,18-25,NULL,NULL,ALG,1996,Handball,Handball Men's Handball,Not Registered
427,Pasqualino Abeti,Male,24,18-25,173,66,ITA,1972,Athletics,Athletics Men's 200 metres,Not Registered
428,Elvan Abeylegesse,Female,21,18-25,159,40,TUR,2004,Athletics,"Athletics Women's 1,500 metres",Not Registered
428,Elvan Abeylegesse,Female,21,18-25,159,40,TUR,2004,Athletics,"Athletics Women's 5,000 metres",Not Registered
428,Elvan Abeylegesse,Female,25,18-25,159,40,TUR,2008,Athletics,"Athletics Women's 5,000 metres",Silver
428,Elvan Abeylegesse,Female,25,18-25,159,40,TUR,2008,Athletics,"Athletics Women's 10,000 metres",Not Registered
429,Ruwani Abeymanne,Female,30,25-30,160,53,SRI,2000,Shooting,"Shooting Women's Air Pistol, 10 metres",Not Registered
429,Ruwani Abeymanne,Female,30,25-30,160,53,SRI,2000,Shooting,"Shooting Women's Sporting Pistol, 25 metres",Not Registered
430,Matthew Duncan Abeysinghe,Male,20,18-25,180,74,SRI,2016,Swimming,Swimming Men's 100 metres Freestyle,Not Registered
431,Narek Abgaryan,Male,24,18-25,166,52,ARM,2016,Boxing,Boxing Men's Flyweight,Not Registered
432,Koutoua Francis Abia,Male,26,25-30,180,80,CIV,1992,Canoeing,"Canoeing Men's Kayak Doubles, 500 metres",Not Registered
432,Koutoua Francis Abia,Male,30,25-30,180,80,CIV,1996,Canoeing,"Canoeing Men's Kayak Singles, 500 metres",Not Registered
432,Koutoua Francis Abia,Male,42,Over 30,180,80,CIV,2008,Canoeing,"Canoeing Men's Kayak Singles, 500 metres",Not Registered
432,Koutoua Francis Abia,Male,42,Over 30,180,80,CIV,2008,Canoeing,"Canoeing Men's Kayak Singles, 1,000 metres",Not Registered
433,Pablo Abin Vicen,Male,23,18-25,177,68,ESP,2008,Badminton,Badminton Men's Singles,Not Registered
433,Pablo Abin Vicen,Male,27,25-30,177,68,ESP,2012,Badminton,Badminton Men's Singles,Not Registered
433,Pablo Abin Vicen,Male,31,Over 30,177,68,ESP,2016,Badminton,Badminton Men's Singles,Not Registered
434,David Abibssira,Male,21,18-25,179,63,FRA,1984,Shooting,"Shooting Men's Running Target, 50 metres",Not Registered
435,Silke Abicht,Female,19,18-25,156,46,GDR,1988,Diving,Diving Women's Platform,Not Registered
436,Haithem Abid,Male,22,18-25,179,72,TUN,1988,Football,Football Men's Football,Not Registered
437,Younis Abid Sadkhan,Male,18,18-25,NULL,NULL,IRQ,1988,Football,Football Men's Football,Not Registered
438,Jaiye Abidoye,Male,30,25-30,NULL,NULL,NGR,1972,Athletics,Athletics Men's 800 metres,Not Registered
438,Jaiye Abidoye,Male,30,25-30,NULL,NULL,NGR,1972,Athletics,"Athletics Men's 1,500 metres",Not Registered
439,Sagat Abikeyeva,Female,27,25-30,160,78,KAZ,2008,Judo,Judo Women's Half-Heavyweight,Not Registered
440,Mitsuhiro Abiko,Male,19,18-25,169,62,JPN,2008,Athletics,Athletics Men's 4 x 400 metres Relay,Not Registered
441,Tomomi Abiko,Female,24,18-25,173,53,JPN,2012,Athletics,Athletics Women's Pole Vault,Not Registered
442,"Catherine ""Kate"" Abilla Awino",Female,27,25-30,162,56,KEN,2016,Rugby Sevens,Rugby Sevens Women's Rugby Sevens,Not Registered
443,Ismail Abilov (-Nizamolu),Male,25,18-25,172,82,BUL,1976,Wrestling,"Wrestling Men's Middleweight, Freestyle",Not Registered
443,Ismail Abilov (-Nizamolu),Male,29,25-30,172,82,BUL,1980,Wrestling,"Wrestling Men's Middleweight, Freestyle",Gold
444,Camille Anne Franoise Abily,Female,27,25-30,168,60,FRA,2012,Football,Football Women's Football,Not Registered
444,Camille Anne Franoise Abily,Female,31,Over 30,168,60,FRA,2016,Football,Football Women's Football,Not Registered
445,Endurance Abinuwa,Female,24,18-25,159,54,NGR,2012,Athletics,Athletics Women's 4 x 100 metres Relay,Not Registered
446,Bode Abiodun,Male,35,Over 30,170,68,NGR,2016,Table Tennis,Table Tennis Men's Team,Not Registered
447,Firmin Abissi,Male,28,25-30,159,54,BEN,1980,Boxing,Boxing Men's Bantamweight,Not Registered
447,Firmin Abissi,Male,32,Over 30,159,54,BEN,1984,Boxing,Boxing Men's Bantamweight,Not Registered
449,Inga Eduardovna Abitova,Female,26,25-30,164,58,RUS,2008,Athletics,"Athletics Women's 10,000 metres",Not Registered
450,Ceyhun Abiyev,Male,29,25-30,163,48,AZE,2004,Boxing,Boxing Men's Light-Flyweight,Not Registered
451,Diana Monteiro Abla,Female,21,18-25,175,75,BRA,2016,Water Polo,Water Polo Women's Water Polo,Not Registered
453,Leslie Ablett,Male,24,18-25,NULL,NULL,GBR,1928,Water Polo,Water Polo Men's Water Polo,Not Registered
453,Leslie Ablett,Male,32,Over 30,NULL,NULL,GBR,1936,Water Polo,Water Polo Men's Water Polo,Not Registered
454,"Edgar Allen ""Ed"" Ablowich",Male,19,18-25,182,68,USA,1932,Athletics,Athletics Men's 4 x 400 metres Relay,Gold
455,Denis Mikhaylovich Ablyazin,Male,19,18-25,161,62,RUS,2012,Gymnastics,Gymnastics Men's Team All-Around,Not Registered
455,Denis Mikhaylovich Ablyazin,Male,19,18-25,161,62,RUS,2012,Gymnastics,Gymnastics Men's Floor Exercise,Bronze
455,Denis Mikhaylovich Ablyazin,Male,19,18-25,161,62,RUS,2012,Gymnastics,Gymnastics Men's Horse Vault,Silver
455,Denis Mikhaylovich Ablyazin,Male,19,18-25,161,62,RUS,2012,Gymnastics,Gymnastics Men's Parallel Bars,Not Registered
455,Denis Mikhaylovich Ablyazin,Male,19,18-25,161,62,RUS,2012,Gymnastics,Gymnastics Men's Horizontal Bar,Not Registered
455,Denis Mikhaylovich Ablyazin,Male,19,18-25,161,62,RUS,2012,Gymnastics,Gymnastics Men's Rings,Not Registered
455,Denis Mikhaylovich Ablyazin,Male,24,18-25,161,62,RUS,2016,Gymnastics,Gymnastics Men's Team All-Around,Silver
455,Denis Mikhaylovich Ablyazin,Male,24,18-25,161,62,RUS,2016,Gymnastics,Gymnastics Men's Floor Exercise,Not Registered
455,Denis Mikhaylovich Ablyazin,Male,24,18-25,161,62,RUS,2016,Gymnastics,Gymnastics Men's Horse Vault,Silver
455,Denis Mikhaylovich Ablyazin,Male,24,18-25,161,62,RUS,2016,Gymnastics,Gymnastics Men's Rings,Bronze
456,Karin Abma,Female,24,18-25,174,62,NED,1976,Rowing,Rowing Women's Coxed Eights,Not Registered
457,Thorine Christelle Aboa Mbeza,Female,23,18-25,182,78,CMR,2016,Volleyball,Volleyball Women's Volleyball,Not Registered
458,Felix Ahmed Aboagye,Male,20,18-25,176,70,GHA,1996,Football,Football Men's Football,Not Registered
459,Bukola Dammy Abogunloko,Female,17,Under 18,170,53,NGR,2012,Athletics,Athletics Women's 4 x 400 metres Relay,Not Registered
460,Viktor Andreyevich Aboimov,Male,22,18-25,190,78,URS,1972,Swimming,Swimming Men's 400 metres Freestyle,Not Registered
460,Viktor Andreyevich Aboimov,Male,22,18-25,190,78,URS,1972,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,Silver
460,Viktor Andreyevich Aboimov,Male,22,18-25,190,78,URS,1972,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,Bronze
460,Viktor Andreyevich Aboimov,Male,22,18-25,190,78,URS,1972,Swimming,Swimming Men's 4 x 100 metres Medley Relay,Not Registered
461,Mohamed Aboker,Male,26,25-30,175,61,SOM,1972,Athletics,Athletics Men's 800 metres,Not Registered
461,Mohamed Aboker,Male,26,25-30,175,61,SOM,1972,Athletics,"Athletics Men's 1,500 metres",Not Registered
464,Abdul Razzak Aboobakur,Male,25,18-25,168,59,MDV,1988,Athletics,Athletics Men's 4 x 100 metres Relay,Not Registered
465,"Matthew ""Matt"" Abood",Male,30,25-30,197,92,AUS,2016,Swimming,Swimming Men's 50 metres Freestyle,Not Registered
465,"Matthew ""Matt"" Abood",Male,30,25-30,197,92,AUS,2016,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,Bronze
467,Jean-Pierre Abossolo-Ze,Male,27,25-30,NULL,NULL,CMR,1984,Athletics,Athletics Men's 400 metres Hurdles,Not Registered
467,Jean-Pierre Abossolo-Ze,Male,27,25-30,NULL,NULL,CMR,1984,Athletics,Athletics Men's 4 x 400 metres Relay,Not Registered
468,Abdelhalim Muhammad Abou,Male,27,25-30,210,88,EGY,2016,Volleyball,Volleyball Men's Volleyball,Not Registered
469,Tarek Abou Al Dahab,Male,28,25-30,170,64,LIB,1968,Cycling,"Cycling Men's Road Race, Individual",Not Registered
469,Tarek Abou Al Dahab,Male,28,25-30,170,64,LIB,1968,Cycling,Cycling Men's Sprint,Not Registered
469,Tarek Abou Al Dahab,Male,28,25-30,170,64,LIB,1968,Cycling,"Cycling Men's 1,000 metres Time Trial",Not Registered
469,Tarek Abou Al Dahab,Male,28,25-30,170,64,LIB,1968,Cycling,"Cycling Men's Individual Pursuit, 4,000 metres",Not Registered
469,Tarek Abou Al Dahab,Male,32,Over 30,170,64,LIB,1972,Cycling,"Cycling Men's Road Race, Individual",Not Registered
469,Tarek Abou Al Dahab,Male,32,Over 30,170,64,LIB,1972,Cycling,"Cycling Men's Individual Pursuit, 4,000 metres",Not Registered
470,Bachir Hani Abou Assi,Male,24,18-25,175,74,LIB,1972,Wrestling,"Wrestling Men's Welterweight, Freestyle",Not Registered
471,Ashraf Abou El-Hassan,Male,25,18-25,186,86,EGY,2000,Volleyball,Volleyball Men's Volleyball,Not Registered
471,Ashraf Abou El-Hassan,Male,33,Over 30,186,86,EGY,2008,Volleyball,Volleyball Men's Volleyball,Not Registered
471,Ashraf Abou El-Hassan,Male,41,Over 30,186,86,EGY,2016,Volleyball,Volleyball Men's Volleyball,Not Registered
472,Galal El-Din Abdel Meguid Abou El-Kheir,Male,24,18-25,NULL,NULL,EGY,1952,Water Polo,Water Polo Men's Water Polo,Not Registered
473,Magdy Abou El-Magd,Male,27,25-30,188,85,EGY,2000,Handball,Handball Men's Handball,Not Registered
474,Essameldin Abou El-Nein,Male,29,25-30,205,102,EGY,1984,Basketball,Basketball Men's Basketball,Not Registered
475,Abdel Khlik Abou El-Yazi,Male,26,25-30,NULL,NULL,EGY,1992,Hockey,Hockey Men's Hockey,Not Registered
