ID,Competitor Name,Sex,Age,Age Grouping,Height,Weight,Nation Code,Year,Sport,Event,Medal
230,Moustafa Abdelal,Male,NULL,NULL,NULL,NULL,EGY,1948,Gymnastics,Gymnastics Men's Pommelled Horse,Not Registered
231,Mahmod Abdelaly,Male,41,Over 30,NULL,NULL,EGY,2008,Shooting,"Shooting Men's Air Pistol, 10 metres",Not Registered
232,Ibrahim Ramadan Ibrahim Abdelbaki,Male,24,18-25,173,77,EGY,2012,Weightlifting,Weightlifting Men's Middleweight,Not Registered
232,Ibrahim Ramadan Ibrahim Abdelbaki,Male,28,25-30,173,77,EGY,2016,Weightlifting,Weightlifting Men's Middleweight,Not Registered
233,Aziza Abdelfattah,Female,17,Under 18,159,51,EGY,2008,Synchronized Swimming,Synchronized Swimming Women's Team,Not Registered
234,Abdalla Abdelgadir El-Sheikh,Male,21,18-25,170,58,SUD,2008,Athletics,"Athletics Men's 1,500 metres",Not Registered
235,Magdi Abdelghani Sayed Ahmed,Male,25,18-25,NULL,NULL,EGY,1984,Football,Football Men's Football,Not Registered
236,Ragab Abdelhay Saad Abdelrazek Abdallah,Male,21,18-25,170,94,EGY,2012,Weightlifting,Weightlifting Men's Light-Heavyweight,Not Registered
236,Ragab Abdelhay Saad Abdelrazek Abdallah,Male,25,18-25,170,94,EGY,2016,Weightlifting,Weightlifting Men's Middle-Heavyweight,Not Registered
237,Ben Ahmed Abdelkrim,Male,20,18-25,NULL,NULL,FRA,1952,Athletics,"Athletics Men's 5,000 metres",Not Registered
238,Mohamed Abdellah,Male,36,Over 30,170,70,EGY,2004,Shooting,"Shooting Men's Air Rifle, 10 metres",Not Registered
238,Mohamed Abdellah,Male,40,Over 30,170,70,EGY,2008,Shooting,"Shooting Men's Air Rifle, 10 metres",Not Registered
239,Ayoub Abdellaoui,Male,23,18-25,184,68,ALG,2016,Football,Football Men's Football,Not Registered
240,Leila Abdelmoez,Female,19,18-25,160,46,EGY,2016,Synchronized Swimming,Synchronized Swimming Women's Team,Not Registered
241,Sayed Abdelmonem Sayed Hamed,Male,23,18-25,170,60,EGY,2012,Wrestling,"Wrestling Men's Lightweight, Greco-Roman",Not Registered
242,Ahmed Abdelrahman,Male,20,18-25,165,60,EGY,2016,Judo,Judo Men's Extra-Lightweight,Not Registered
243,Ihab Abdelrahman El-Sayed Abdelrahman,Male,23,18-25,194,96,EGY,2012,Athletics,Athletics Men's Javelin Throw,Not Registered
244,Raouf Abdelraouf,Male,22,18-25,167,63,EGY,2000,Gymnastics,Gymnastics Men's Individual All-Around,Not Registered
244,Raouf Abdelraouf,Male,22,18-25,167,63,EGY,2000,Gymnastics,Gymnastics Men's Horse Vault,Not Registered
244,Raouf Abdelraouf,Male,22,18-25,167,63,EGY,2000,Gymnastics,Gymnastics Men's Parallel Bars,Not Registered
244,Raouf Abdelraouf,Male,22,18-25,167,63,EGY,2000,Gymnastics,Gymnastics Men's Rings,Not Registered
244,Raouf Abdelraouf,Male,22,18-25,167,63,EGY,2000,Gymnastics,Gymnastics Men's Pommelled Horse,Not Registered
245,Abouelfetoh Abdelrazek,Male,21,18-25,NULL,NULL,EGY,2008,Handball,Handball Men's Handball,Not Registered
246,Mamdouh Abdelrehim,Male,26,25-30,207,90,EGY,2016,Volleyball,Volleyball Men's Volleyball,Not Registered
247,El-Hachemi Abdenouz,Male,24,18-25,170,63,ALG,1980,Athletics,"Athletics Men's 5,000 metres",Not Registered
248,Rda Abdenouz,Male,19,18-25,170,63,ALG,1988,Athletics,Athletics Men's 800 metres,Not Registered
248,Rda Abdenouz,Male,23,18-25,170,63,ALG,1992,Athletics,Athletics Men's 800 metres,Not Registered
249,Mouni Abderrahim,Female,22,18-25,173,60,ALG,2008,Volleyball,Volleyball Women's Volleyball,Not Registered
249,Mouni Abderrahim,Female,26,25-30,173,60,ALG,2012,Volleyball,Volleyball Women's Volleyball,Not Registered
250,Saeid Morad Abdevali,Male,22,18-25,170,80,IRI,2012,Wrestling,"Wrestling Men's Welterweight, Greco-Roman",Not Registered
250,Saeid Morad Abdevali,Male,26,25-30,170,80,IRI,2016,Wrestling,"Wrestling Men's Middleweight, Greco-Roman",Bronze
251,Bashir Abdi,Male,27,25-30,176,56,BEL,2016,Athletics,"Athletics Men's 5,000 metres",Not Registered
251,Bashir Abdi,Male,27,25-30,176,56,BEL,2016,Athletics,"Athletics Men's 10,000 metres",Not Registered
